,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,21
1,1,SVM,0.5537190082644629,0.5509756932557344,0.5515403253721011,0.5506498865277492,DVCCA,21
2,2,RF,0.4421487603305785,0.4351851851851852,0.4350640359986154,0.4351171435981672,DVCCA,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,21
4,4,MLP,0.5619834710743802,0.558893657606104,0.5085496711664935,0.3990817091454273,DVCCA,21
5,5,Extra,0.4297520661157025,0.4149306789904017,0.4171685704395984,0.4153361344537815,DVCCA,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,DVCCA,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,DVCCA,3500
2,2,RF,0.5082644628099173,0.4818627450980393,0.4846313603322949,0.4725157981500137,DVCCA,3500
3,3,NB,0.5330578512396694,0.5220462328767124,0.5213914849428868,0.5206072611889276,DVCCA,3500
4,4,MLP,0.5537190082644629,0.4784810126582278,0.4982346832814122,0.3726958525345622,DVCCA,3500
5,5,Extra,0.5247933884297521,0.4993238674780257,0.4994461751471097,0.4853444290337494,DVCCA,3500
6,6,KNN,0.5702479338842975,0.5684102564102564,0.5692627206645897,0.5678571428571428,DVCCA,3500
0,0,LR,0.4462809917355372,0.4443076923076923,0.443613707165109,0.4432005494505494,DVCCA,350
1,1,SVM,0.5495867768595041,0.4023109243697479,0.4935617860851505,0.362896408472816,DVCCA,350
2,2,RF,0.5413223140495868,0.5229866835764109,0.5200761509172724,0.5123359294156091,DVCCA,350
3,3,NB,0.5371900826446281,0.5362437657990026,0.5367255105572862,0.5351581258146395,DVCCA,350
4,4,MLP,0.5,0.4703488372093023,0.4752855659397715,0.4611236864866854,DVCCA,350
5,5,Extra,0.5206611570247934,0.4893578480210125,0.4918656974731741,0.4712176009644364,DVCCA,350
6,6,KNN,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,DVCCA,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,700
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,DVCCA,700
2,2,RF,0.5371900826446281,0.5169003809678203,0.5144340602284527,0.5046783625730995,DVCCA,700
3,3,NB,0.5495867768595041,0.5400368480725624,0.5391138802353755,0.5388058396712999,DVCCA,700
4,4,MLP,0.5578512396694215,0.5294117647058824,0.501938386985116,0.374586382629278,DVCCA,700
5,5,Extra,0.4958677685950413,0.4694610778443114,0.4735202492211837,0.4628484098682774,DVCCA,700
6,6,KNN,0.5537190082644629,0.5492744653049997,0.549601938386985,0.5492860591846589,DVCCA,700
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,70
1,1,SVM,0.5867768595041323,0.5799399315499056,0.5792315680166147,0.5794230100799445,DVCCA,70
2,2,RF,0.5,0.4586769115442278,0.4694704049844236,0.4436781609195401,DVCCA,70
3,3,NB,0.5082644628099173,0.4772727272727273,0.481723779854621,0.4647510361875732,DVCCA,70
