,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
0,0,LR,0.9468125235760092,0.9467570368619804,0.9467431676397272,0.9467500535888568,DVCCA,21
1,1,SVM,0.6799698227084119,0.6829897213207814,0.6770598122677354,0.6761529998703408,DVCCA,21
2,2,RF,0.9425122595247076,0.9424940438871472,0.942389090889033,0.9424389616407688,DVCCA,21
3,3,NB,0.9005658242172765,0.9004813782746781,0.9004043178721738,0.9004411817738388,DVCCA,21
4,4,MLP,0.619238023387401,0.7689072091970987,0.6061192755273608,0.5440045428058317,DVCCA,21
5,5,Extra,0.9452282157676348,0.9452089261669718,0.9451133348677656,0.945158970843089,DVCCA,21
6,6,KNN,0.5284043757072803,0.527547832657531,0.5274954205221782,0.527461789932566,DVCCA,21
0,0,LR,0.9866465484722746,0.9866700606457186,0.9865925225012449,0.9866300234133798,DVCCA,3500
1,1,SVM,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,DVCCA,3500
2,2,RF,0.9575254620897774,0.9574089382905148,0.957576459603565,0.9574843865368888,DVCCA,3500
3,3,NB,0.8042248208223312,0.8156196611720293,0.8008497545159192,0.8010439523665672,DVCCA,3500
4,4,MLP,0.9055450773293096,0.9101281871994764,0.9074966791577472,0.9054787970990152,DVCCA,3500
5,5,Extra,0.9584307808374198,0.958338868917741,0.9584417088760886,0.9583873945006366,DVCCA,3500
6,6,KNN,0.55096190116937,0.5499927381061256,0.5497886896299962,0.549688010137102,DVCCA,3500
0,0,LR,0.9769143719351188,0.976882993779158,0.9768927547220144,0.9768878519345544,DVCCA,350
1,1,SVM,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,DVCCA,350
2,2,RF,0.9682384006035458,0.9681703479118676,0.9682401366346692,0.9682039984187568,DVCCA,350
3,3,NB,0.6698604300264052,0.6745804789899013,0.6663065013290891,0.6644377567891849,DVCCA,350
4,4,MLP,0.951339117314221,0.951194823409944,0.9514394829464908,0.95129695486161,DVCCA,350
5,5,Extra,0.96605054696341,0.9662415205726737,0.965815884181458,0.9659967965758632,DVCCA,350
6,6,KNN,0.5896642776310826,0.5979001166303624,0.58313137497662,0.5703839113770948,DVCCA,350
0,0,LR,0.9804602036967184,0.9804351985291484,0.9804401263048316,0.9804376568175768,DVCCA,700
1,1,SVM,0.5170124481327801,0.25850622406639,0.5,0.3408096280087528,DVCCA,700
2,2,RF,0.9643153526970956,0.9644009623826952,0.9641532065370824,0.964264910488278,DVCCA,700
3,3,NB,0.7785741229724632,0.7915379893948016,0.7820258817594623,0.7773269360014567,DVCCA,700
4,4,MLP,0.8959637872500943,0.9012562499062952,0.8940725284985681,0.8951885062351836,DVCCA,700
5,5,Extra,0.9587325537533008,0.9589915506135932,0.958435440770666,0.9586618972414797,DVCCA,700
6,6,KNN,0.5715579026782346,0.5706800891558084,0.570364873938371,0.5702829398385685,DVCCA,700
0,0,LR,0.9643153526970956,0.964212848083816,0.9643588003949408,0.964279829944002,DVCCA,70
1,1,SVM,0.5545077329309694,0.6624416827833908,0.5397668665941572,0.4403747188611493,DVCCA,70
2,2,RF,0.9612221803093172,0.9611999973739576,0.9611515362123494,0.961175217786954,DVCCA,70
3,3,NB,0.7964541682384007,0.8168156256028014,0.7919984374866803,0.7912493344983493,DVCCA,70
4,4,MLP,0.9133911731422104,0.9149828505640272,0.914632290370736,0.9133886881109852,DVCCA,70
5,5,Extra,0.96605054696341,0.966070624661178,0.9659495201890662,0.9660068935096376,DVCCA,70
