Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim,qtd_views,views
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,bert-falcon
1,SVM,0.1925808997632202,0.1619199391865812,0.1683073220993986,0.1608797683575188,jointAAE,70,2,bert-falcon
2,RF,0.2217837411207577,0.1792888924171428,0.1907499301850408,0.1731418961009349,jointAAE,70,2,bert-falcon
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,bert-falcon
4,MLP,0.2091554853985793,0.0348592475664298,0.1666666666666666,0.0576588337684943,jointAAE,70,2,bert-falcon
5,Extra,0.2209944751381215,0.1726224454809846,0.1901857585416372,0.1737819622017551,jointAAE,70,2,bert-falcon
6,KNN,0.1641673243883188,0.1583728454095432,0.1511241713781846,0.1512414672569208,jointAAE,70,2,bert-falcon
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,cv-bert
1,SVM,0.1894238358326756,0.1580671219876882,0.1655861667012647,0.15950678808452,jointAAE,70,2,cv-bert
2,RF,0.2162588792423046,0.1818917004309121,0.183745209041898,0.1566421304293478,jointAAE,70,2,cv-bert
3,NB,0.2146803472770323,0.070804573289441,0.1725240584981435,0.0863467002002701,jointAAE,70,2,cv-bert
4,MLP,0.1933701657458563,0.062836609378752,0.1708519272423602,0.0707702435813034,jointAAE,70,2,cv-bert
5,Extra,0.2115232833464877,0.1743012576860741,0.1798138383278147,0.1512190543098918,jointAAE,70,2,cv-bert
6,KNN,0.1633780584056827,0.1584981004999813,0.1504548273353466,0.1508346836196802,jointAAE,70,2,cv-bert
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,cv-falcon
1,SVM,0.1902131018153117,0.1573917770461276,0.1646404687216607,0.155519411666945,jointAAE,70,2,cv-falcon
2,RF,0.1933701657458563,0.1566694531041532,0.1683118786818326,0.1578892833283613,jointAAE,70,2,cv-falcon
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,cv-falcon
4,MLP,0.186266771902131,0.0870691532855576,0.1612471336846642,0.086779930214649,jointAAE,70,2,cv-falcon
5,Extra,0.1996842936069455,0.1851771963283656,0.1774205395719498,0.173163975664845,jointAAE,70,2,cv-falcon
6,KNN,0.1720599842146803,0.1658844001141554,0.1612746302832346,0.1600810305981356,jointAAE,70,2,cv-falcon
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,cv-fast
1,SVM,0.1799526440410418,0.1549850541975828,0.1587095093825785,0.1546548694846832,jointAAE,70,2,cv-fast
2,RF,0.2265193370165746,0.1762985563479989,0.1929466883386295,0.1641888130916323,jointAAE,70,2,cv-fast
3,NB,0.207576953433307,0.0347607718741739,0.1654088050314465,0.0574486675404106,jointAAE,70,2,cv-fast
4,MLP,0.1902131018153117,0.0317021836358852,0.1666666666666666,0.0532714412024756,jointAAE,70,2,cv-fast
5,Extra,0.2194159431728492,0.1634985277544261,0.1858019890993129,0.1590707165452791,jointAAE,70,2,cv-fast
6,KNN,0.1633780584056827,0.1585784275854515,0.1504548273353466,0.1508297726271723,jointAAE,70,2,cv-fast
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,cv-glove
1,SVM,0.1783741120757695,0.1620522179813248,0.1619196059896912,0.1608259745997815,jointAAE,70,2,cv-glove
2,RF,0.2083662194159431,0.1734705088016685,0.1790277394530153,0.1582652836221386,jointAAE,70,2,cv-glove
3,NB,0.2036306235201262,0.1044040232707352,0.1689995033239772,0.1048232181110943,jointAAE,70,2,cv-glove
4,MLP,0.2036306235201262,0.1358213529969997,0.1741311980215091,0.0765002284960189,jointAAE,70,2,cv-glove
5,Extra,0.1941594317284925,0.1573226693717022,0.1676186622824993,0.1492344770891607,jointAAE,70,2,cv-glove
6,KNN,0.1633780584056827,0.1583859586128214,0.1504548273353466,0.1507896896288072,jointAAE,70,2,cv-glove
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,cv-w2v
1,SVM,0.1846882399368587,0.1621378229250455,0.1641925918982727,0.1612446815704797,jointAAE,70,2,cv-w2v
2,RF,0.1996842936069455,0.1608647200006862,0.1720835805547568,0.1534974192886111,jointAAE,70,2,cv-w2v
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,cv-w2v
4,MLP,0.1957379636937648,0.0973862765141834,0.1719967922002475,0.1204255603832658,jointAAE,70,2,cv-w2v
5,Extra,0.1823204419889502,0.1381449856575728,0.1560751157847206,0.136580291133744,jointAAE,70,2,cv-w2v
6,KNN,0.1633780584056827,0.1586099310419471,0.1504548273353466,0.1508239903475986,jointAAE,70,2,cv-w2v
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,fast-bert
1,SVM,0.1886345698500394,0.1645285380888231,0.1678678231859031,0.1651597146407195,jointAAE,70,2,fast-bert
2,RF,0.2115232833464877,0.1340132010612908,0.177501839336662,0.1390661922703762,jointAAE,70,2,fast-bert
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,fast-bert
4,MLP,0.1728492501973165,0.0675671993063297,0.172408633897223,0.0729534340949419,jointAAE,70,2,fast-bert
5,Extra,0.21310181531176,0.168126737269103,0.1797550956273669,0.1461563930219364,jointAAE,70,2,fast-bert
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,fast-bert
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,fast-falcon
1,SVM,0.1894238358326756,0.1608438180427773,0.1645092165511605,0.1557083850106133,jointAAE,70,2,fast-falcon
2,RF,0.2115232833464877,0.2052223339213396,0.1824660983394051,0.1665851357386625,jointAAE,70,2,fast-falcon
3,NB,0.2091554853985793,0.0349696489839007,0.1666666666666666,0.0578097731239092,jointAAE,70,2,fast-falcon
4,MLP,0.1641673243883188,0.0273612207313864,0.1666666666666666,0.0470056497175141,jointAAE,70,2,fast-falcon
5,Extra,0.2107340173638516,0.2240803272038705,0.184401115308521,0.1751878334601133,jointAAE,70,2,fast-falcon
6,KNN,0.1681136543014996,0.1647960087800265,0.1569139999447871,0.1566955038080756,jointAAE,70,2,fast-falcon
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,glove-bert
1,SVM,0.1894238358326756,0.1668940976602808,0.1694120389844351,0.1670268455727246,jointAAE,70,2,glove-bert
2,RF,0.2170481452249408,0.3512694378262459,0.1865064552857825,0.162976388333615,jointAAE,70,2,glove-bert
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,glove-bert
4,MLP,0.1902131018153117,0.0317021836358852,0.1666666666666666,0.0532714412024756,jointAAE,70,2,glove-bert
5,Extra,0.2123125493291239,0.3393433077035188,0.1824103558642178,0.1569757028234647,jointAAE,70,2,glove-bert
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,glove-bert
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,glove-falcon
1,SVM,0.1965272296764009,0.1680495882441939,0.1717296263436668,0.1641557221226573,jointAAE,70,2,glove-falcon
2,RF,0.2146803472770323,0.1756914973920181,0.1866081104706572,0.1763527434721959,jointAAE,70,2,glove-falcon
3,NB,0.2083662194159431,0.0349206349206349,0.1660377358490566,0.0577049180327869,jointAAE,70,2,glove-falcon
4,MLP,0.1981057616416732,0.0660315909460999,0.1708493725941109,0.0952292714110471,jointAAE,70,2,glove-falcon
5,Extra,0.207576953433307,0.1813941149275714,0.1825750289438557,0.1760376004314766,jointAAE,70,2,glove-falcon
6,KNN,0.1681136543014996,0.1623907581427515,0.1567776108018846,0.1558202894449591,jointAAE,70,2,glove-falcon
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,glove-fast
1,SVM,0.191791633780584,0.1721358542448056,0.1721958264971857,0.169987878124971,jointAAE,70,2,glove-fast
2,RF,0.2154696132596685,0.17476923258334,0.1856912412682525,0.1655950382189486,jointAAE,70,2,glove-fast
3,NB,0.2083662194159431,0.0347826086956521,0.1660377358490566,0.057516339869281,jointAAE,70,2,glove-fast
4,MLP,0.207576953433307,0.0348991507430997,0.1654088050314465,0.0576375191759807,jointAAE,70,2,glove-fast
5,Extra,0.1996842936069455,0.1704795018563726,0.172828800069201,0.1596997814695783,jointAAE,70,2,glove-fast
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,glove-fast
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,tfidf-bert
1,SVM,0.1823204419889502,0.1613374261668592,0.1634207332979304,0.1616096285140761,jointAAE,70,2,tfidf-bert
2,RF,0.2162588792423046,0.1688754641856255,0.1830899333512325,0.1519199400539436,jointAAE,70,2,tfidf-bert
3,NB,0.2028413575374901,0.0648791934642795,0.1641405047104569,0.084096799261822,jointAAE,70,2,tfidf-bert
4,MLP,0.176006314127861,0.0579519373565546,0.1623377486966698,0.0845115088334332,jointAAE,70,2,tfidf-bert
5,Extra,0.2123125493291239,0.1530451359945664,0.178921418520007,0.1444784610456341,jointAAE,70,2,tfidf-bert
6,KNN,0.1633780584056827,0.1584068556820453,0.1504548273353466,0.1507815962732771,jointAAE,70,2,tfidf-bert
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-cv
1,SVM,0.1783741120757695,0.1587836365868118,0.1599060820465776,0.1583292750750193,jointAAE,70,2,tfidf-cv
2,RF,0.2138910812943962,0.1760621100758106,0.1844079439527386,0.1676520800417694,jointAAE,70,2,tfidf-cv
3,NB,0.2107340173638516,0.1386729649138385,0.1870354719328788,0.1516915388272037,jointAAE,70,2,tfidf-cv
4,MLP,0.1996842936069455,0.1731923299881541,0.1713931282646742,0.0820259404173506,jointAAE,70,2,tfidf-cv
5,Extra,0.2138910812943962,0.2102283990994317,0.1861831494839589,0.1731653127989605,jointAAE,70,2,tfidf-cv
6,KNN,0.1633780584056827,0.1583859586128214,0.1504548273353466,0.1507896896288072,jointAAE,70,2,tfidf-cv
0,LR,0.1965272296764009,0.0327545382794001,0.1666666666666666,0.0547493403693931,jointAAE,70,2,tfidf-falcon
1,SVM,0.1957379636937648,0.1660181118556145,0.1714494225469504,0.164565874515261,jointAAE,70,2,tfidf-falcon
2,RF,0.2202052091554854,0.2509488626374858,0.1973090401432633,0.1939155520250564,jointAAE,70,2,tfidf-falcon
3,NB,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-falcon
4,MLP,0.1902131018153117,0.0946723247163826,0.163258624413885,0.109368086666782,jointAAE,70,2,tfidf-falcon
5,Extra,0.2036306235201262,0.2225817100498847,0.1841985977867046,0.1835067744789314,jointAAE,70,2,tfidf-falcon
6,KNN,0.1673243883188634,0.1613380569403207,0.1550104543777637,0.1546962304510297,jointAAE,70,2,tfidf-falcon
0,LR,0.2091554853985793,0.0348867825171142,0.1666666666666666,0.0576964946657957,jointAAE,70,2,tfidf-fast
1,SVM,0.1870560378847671,0.167148324972483,0.1684426895100657,0.1668867618736365,jointAAE,70,2,tfidf-fast
2,RF,0.2036306235201262,0.1720014096592489,0.1739910253987623,0.1492140252232869,jointAAE,70,2,tfidf-fast
